category,criterion,description
Economic,Revenue,"Total income generated from sales or services"
Economic,Profit,"Net income after expenses"
Economic,Financial Returns,"Returns on investments, dividends, or similar financial metrics"
Economic,Local Economic Contributions,"Monetary contributions to local economies, e.g., taxes or investments"
Economic,Jobs Created,"Number of jobs created or supported in local communities"
Economic,Community Welfare Investments,"Amount invested in community development or welfare projects"
Economic,Sustainable Procurement Policies,"Policies ensuring suppliers meet sustainability standards"
Economic,Suppliers Assessed for Sustainability,"Number or percentage of suppliers assessed for sustainability compliance"
Economic,Local Suppliers Percentage,"Proportion of suppliers sourced from local regions"
Economic,Charitable Monetary Donations,"Total monetary contributions to charitable causes"
Economic,Charitable In-Kind Donations,"Total value of in-kind contributions to charitable causes"
Environmental,Total Waste Generated,"Total weight or volume of waste produced across operations"
Environmental,Hazardous Waste Generated,"Quantity of waste classified as hazardous"
Environmental,Scope 1 GHG Emissions,"Direct greenhouse gas emissions from owned or controlled sources"
Environmental,Scope 2 GHG Emissions,"Indirect greenhouse gas emissions from purchased electricity or heat"
Environmental,Scope 3 GHG Emissions,"Indirect greenhouse gas emissions from value chain activities"
Environmental,Total GHG Emissions,"Combined greenhouse gas emissions across all scopes (1, 2, and 3)"
Environmental,Ozone-Depleting Substances Emissions,"Total emissions of gases that harm the ozone layer"
Environmental,Total Energy Consumption,"Total energy used across all operations"
Environmental,Electricity Consumption,"Total electricity consumed in operations"
Environmental,Renewable Energy Consumption,"Total energy consumed from renewable sources"
Environmental,Total Water Consumption,"Total volume of water used in operational processes"
Environmental,NOx Emissions,"Emissions of nitrogen oxides (NOx) as air pollutants"
Environmental,SOx Emissions,"Emissions of sulfur oxides (SOx) as air pollutants"
Environmental,Particulate Emissions,"Emissions of particulate matter as air pollutants"
Environmental,Waste Reduction Strategies,"Strategies implemented to reduce total waste generation"
Environmental,Hazardous Chemicals Usage,"Total volume or quantity of hazardous chemicals used"
Environmental,Suppliers Assessed for Environmental Practices,"Number or percentage of suppliers reviewed for environmental compliance"
Environmental,Raw Materials Consumption,"Total quantity of raw materials used in production"
Environmental,Energy Intensity,"Energy consumption per unit of output or revenue"
Environmental,Water Intensity,"Water usage per unit of output or revenue"
Environmental,GHG Emissions Intensity,"Greenhouse gas emissions per unit of output or revenue"
Environmental,Waste Intensity,"Waste generated per unit of output or revenue"
Environmental,Sourcing of Materials,"Information on the sourcing of materials, including use of reclaimed or recycled materials"
Environmental,Integrated Water Resource Management,"Description of practices for integrated water resource management"
Environmental,Biodiversity Impacts,"Assessment of the company's impacts on biodiversity"
Environmental,Engagement on Environmental Issues,"Description of how the company engages with suppliers and consumers on environmental issues"
Social,Total Employee Training Hours,"Total hours employees spend in training programs"
Social,Average Training Hours per Employee,"Average training hours per employee across the workforce"
Social,Occupational Injury Count,"Total number of work-related injuries to employees"
Social,Safety Programs,"Programs implemented to ensure employee health and safety"
Social,Permanent Employees,"Number of employees on permanent contracts"
Social,Temporary Employees,"Number of employees on temporary contracts"
Social,Gender Distribution,"Breakdown of employees by gender (e.g., male, female, other)"
Social,Training Programs Offered,"Number or types of structured training programs for skill development"
Social,Human Rights Policy,"Existence of a policy committing to human rights standards"
Social,Diversity Initiatives,"Initiatives or programs to promote diversity and inclusion"
Social,Worker Rights Policies,"Policies ensuring fair treatment and rights of workers"
Social,Suppliers Assessed for Social Practices,"Number or percentage of suppliers evaluated for labor and social standards"
Social,Community Investment,"Monetary or resource investment in local community initiatives"
Social,Local Community Impacts,"Assessment of the company's impacts on local communities, both positive and negative"
Social,Engagement on Sustainability Issues,"Description of how the company engages with suppliers and consumers on sustainability issues"
Institutional and Governance,Corruption Incidents Count,"Total number of recorded corruption incidents"
Institutional and Governance,Anti-Corruption Training Hours,"Total hours of training provided to prevent corruption"
Institutional and Governance,Materiality Assessment Process,"Process to identify and evaluate significant risks and impacts"
Institutional and Governance,Sustainability Goals,"Specific goals or targets defined for sustainability"
Institutional and Governance,Sustainability Management Methods,"Methods used to address key sustainability topics"
Institutional and Governance,Governance Framework,"Structure for overseeing economic, environmental, and social issues"
Institutional and Governance,Key Sustainability Risks,"Identification of critical sustainability-related risks"
Institutional and Governance,Anti-Fraud Policies,"Policies designed to prevent fraudulent activities"
Institutional and Governance,Supply Chain Overview,"Description or mapping of supply chain structure and practices"
Institutional and Governance,Stakeholder Engagement Process,"Processes for involving stakeholders in decision-making"
Institutional and Governance,Compensation Structure,"Details of compensation policies and their structure"
Institutional and Governance,Supply Chain Details,"Description of the company's supply chain, including structure and key suppliers"
Institutional and Governance,Stakeholder Engagement on Sustainability,"Description of how the company engages with stakeholders on sustainability performance and issues"
Institutional and Governance,Remuneration Details,"Information on compensation policies and how remuneration is linked to sustainability performance"
