SUMMARY_HEADER,SUMMARY_VALUE,Document_Processed,Audit_Date,Category,Criterion,Description,Extracted_Value,Unit,Source_Page,Source_Granularity,Standard_Framework,Standard_Code,Standard_Requirement,Compliance_Status,Compliance_Reason,Human_Summary
Total_Criteria_Assessed,66,,,,,,,,,,,,,,,
Compliant_Criteria,43,,,,,,,,,,,,,,,
NonCompliant_Criteria,23,,,,,,,,,,,,,,,
Compliance_Rate,65.2%,,,,,,,,,,,,,,,
Processing_Time_Seconds,134.8,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,btg-pactual.pdf,2025-07-20 07:49:40,Economic,Revenue,Total income generated from sales or services,,,55.0,"Table 1 1, Page 55",ifrs_s1,,Total income generated from sales or services,Non-Compliant,No value extracted for criterion 'Revenue'. Required by ifrs_s1 .,"btg-pactual mentioned Revenue on page 55, not meeting the disclosure requirement of ifrs_s1 ."
,,btg-pactual.pdf,2025-07-20 07:49:40,Economic,Profit,Net income after expenses,,,89.0,"Text 1, Page 89",ifrs_s1,,Net income after expenses,Non-Compliant,No value extracted for criterion 'Profit'. Required by ifrs_s1 .,"btg-pactual mentioned Profit on page 89, not meeting the disclosure requirement of ifrs_s1 ."
,,btg-pactual.pdf,2025-07-20 07:49:40,Economic,Financial Returns,"Returns on investments, dividends, or similar financial metrics",,,89.0,"Text 1, Page 89",ifrs_s1,,"Returns on investments, dividends, or similar financial metrics",Non-Compliant,No value extracted for criterion 'Financial Returns'. Required by ifrs_s1 .,"btg-pactual mentioned Financial Returns on page 89, not meeting the disclosure requirement of ifrs_s1 ."
,,btg-pactual.pdf,2025-07-20 07:49:40,Economic,Local Economic Contributions,"Monetary contributions to local economies, e.g., taxes or investments",,,89.0,"Text 1, Page 89",ifrs_s1,,"Monetary contributions to local economies, e.g., taxes or investments",Non-Compliant,No value extracted for criterion 'Local Economic Contributions'. Required by ifrs_s1 .,"btg-pactual mentioned Local Economic Contributions on page 89, not meeting the disclosure requirement of ifrs_s1 ."
