report_type,category,criterion,additional_terms,description
ESG Report,Institutional and Governance,Materiality Assessment,"GRI, SASB, stakeholder materiality","Must align with ESG frameworks and stakeholder priorities."
ESG Report,Institutional and Governance,Sustainability Strategy/Principles,"net-zero, TCFD, ESG targets","Specific, measurable ESG goals (e.g., carbon neutrality)."
ESG Report,Institutional and Governance,Management Approach to Material Topics,"ESG integration, risk mitigation","Approach integrates ESG into core operations."
ESG Report,Institutional and Governance,"Governance Structure (Economic, Environmental, Social)","ESG oversight, board committees","Governance explicitly includes environmental/social accountability."
ESG Report,Institutional and Governance,"Key Impacts, Risks, Opportunities","climate risks, ESG opportunities","Focus on sustainability-related impacts and risks."
ESG Report,Institutional and Governance,"Anti-Fraud, Anti-Corruption, Anti-Competitive Practices","ethical governance, transparency","Policies emphasize ESG ethical standards."
ESG Report,Economic,Direct Economic Performance,"sustainable revenue, green investments","Economic metrics tied to sustainability initiatives."
ESG Report,Economic,Indirect Economic Performance,"community investment, social value","Economic impact measured by social/environmental contributions."
ESG Report,Environmental,Energy Consumption and Efficiency,"renewable energy, efficiency targets","Tracks energy with sustainability goals (e.g., renewables)."
ESG Report,Environmental,"Water Management (Use, Wastewater, Recycling)","water stewardship, zero discharge","Focus on sustainable water use and recycling."
ESG Report,Environmental,Greenhouse Gas Emissions,"Scope 1, Scope 2, Scope 3, GHG Protocol","Detailed emissions reporting with reduction targets."
ESG Report,Environmental,"Other Emissions and Effluents (e.g., NOx, SOx)","air quality, emission controls","Specific tracking of non-GHG emissions."
ESG Report,Environmental,"Waste Management (Hazardous and Recycling)","zero waste, circular economy","Aims for sustainable waste reduction."
ESG Report,Environmental,Hazardous Chemicals and Substances,"chemical reduction, eco-friendly alternatives","Focus on minimizing environmental harm."
ESG Report,Social,Occupational Health and Safety,"safety incidents, wellness programs","Safety as an ESG social metric."
ESG Report,Social,Employee Data by Contract Type and Gender,"diversity ratios, inclusion metrics","Demographics tied to ESG diversity goals."
ESG Report,Social,Employee Training,"sustainability training, DEI","Training includes ESG and diversity focus."
ESG Report,Social,Unfair Labor Practices and Human Rights,"human rights audits, fair wages","Proactive human rights protection."
ESG Report,Social,"Diversity, Equal Opportunity, Discrimination","inclusion targets, equity policies","Strong focus on social equity."
ESG Report,Social,Worker Rights and Collective Agreements,"living wage, union support","Supports worker empowerment and rights."
