report_type,category,criterion,additional_terms,description
Integrated Report,Institutional and Governance,Materiality Assessment,"sustainability priorities, community input","Narrative on sustainability shaping strategy."
Integrated Report,Institutional and Governance,Sustainability Strategy/Principles,"circular economy, renewable goals","Holistic sustainability vision beyond compliance."
Integrated Report,Institutional and Governance,Management Approach to Material Topics,"sustainability integration, stakeholder focus","Management reflects sustainability priorities."
Integrated Report,Institutional and Governance,"Governance Structure (Economic, Environmental, Social)","sustainability oversight, ethical leadership","Governance emphasizes sustainability leadership."
Integrated Report,Institutional and Governance,"Key Impacts, Risks, Opportunities","environmental impact, social good","Focus on sustainability-driven impacts."
Integrated Report,Institutional and Governance,"Anti-Fraud, Anti-Corruption, Anti-Competitive Practices","ethical practices, transparency","Ethics tied to sustainable governance."
Integrated Report,Economic,Direct Economic Performance,"sustainable profits, green revenue","Economic success linked to sustainability."
Integrated Report,Economic,Indirect Economic Performance,"local economies, social benefits","Economic impact as a sustainability outcome."
Integrated Report,Environmental,Energy Consumption and Efficiency,"carbon reduction, green energy","Energy use tied to environmental goals."
Integrated Report,Environmental,"Water Management (Use, Wastewater, Recycling)","water conservation, ecosystem health","Focus on environmental water stewardship."
Integrated Report,Environmental,Greenhouse Gas Emissions,"carbon footprint, offsets","Emphasizes reduction and offsets."
Integrated Report,Environmental,"Other Emissions and Effluents (e.g., NOx, SOx)","pollution reduction, air quality","Broad pollution control focus."
Integrated Report,Environmental,"Waste Management (Hazardous and Recycling)","waste reduction, recycling rates","Sustainable waste management goals."
Integrated Report,Environmental,Hazardous Chemicals and Substances,"eco-safe materials, reduction","Reduces environmental chemical impact."
Integrated Report,Social,Occupational Health and Safety,"employee well-being, safety culture","Safety as a sustainability pillar."
Integrated Report,Social,Employee Data by Contract Type and Gender,"inclusion stats, workforce diversity","Demographics reflect social sustainability."
Integrated Report,Social,Employee Training,"sustainability education, development","Training supports sustainability awareness."
Integrated Report,Social,Unfair Labor Practices and Human Rights,"ethical labor, community rights","Broad human rights commitment."
Integrated Report,Social,"Diversity, Equal Opportunity, Discrimination","social equity, inclusion programs","Focus on societal diversity goals."
Integrated Report,Social,Worker Rights and Collective Agreements,"worker voice, fair agreements","Empowers workers in sustainability context."
